"","from","to","source","database"
"1","CXCL1","CXCR2","kegg_cytokines","kegg"
"2","CXCL2","CXCR2","kegg_cytokines","kegg"
"3","CXCL3","CXCR2","kegg_cytokines","kegg"
"4","CXCL5","CXCR2","kegg_cytokines","kegg"
"5","PPBP","CXCR2","kegg_cytokines","kegg"
"6","CXCL6","CXCR2","kegg_cytokines","kegg"
"7","CXCL8","CXCR2","kegg_cytokines","kegg"
"8","CXCL6","CXCR1","kegg_cytokines","kegg"
"9","CXCL8","CXCR1","kegg_cytokines","kegg"
"10","CXCL9","CXCR3","kegg_cytokines","kegg"
"11","CXCL10","CXCR3","kegg_cytokines","kegg"
"12","CXCL11","CXCR3","kegg_cytokines","kegg"
"13","CXCL12","CXCR4","kegg_cytokines","kegg"
"14","CXCL13","CXCR5","kegg_cytokines","kegg"
"15","CXCL16","CXCR6","kegg_cytokines","kegg"
"16","XCL1","XCR1","kegg_cytokines","kegg"
"17","XCL2","XCR1","kegg_cytokines","kegg"
"18","CX3CL1","CX3CR1","kegg_cytokines","kegg"
"19","CCL20","CCR6","kegg_cytokines","kegg"
"20","CCL25","CCR9","kegg_cytokines","kegg"
"21","CCL17","CCR4","kegg_cytokines","kegg"
"22","CCL22","CCR4","kegg_cytokines","kegg"
"23","CCL19","CCR7","kegg_cytokines","kegg"
"24","CCL21","CCR7","kegg_cytokines","kegg"
"25","CCL2","CCR2","kegg_cytokines","kegg"
"26","CCL4L1","CCR5","kegg_cytokines","kegg"
"27","CCL3L3","CCR5","kegg_cytokines","kegg"
"28","CCL13","CCR2","kegg_cytokines","kegg"
"29","CCL13","CCR3","kegg_cytokines","kegg"
"30","CCL7","CCR2","kegg_cytokines","kegg"
"31","CCL7","CCR1","kegg_cytokines","kegg"
"32","CCL5","CCR5","kegg_cytokines","kegg"
"33","CCL5","CCR1","kegg_cytokines","kegg"
"34","CCL5","CCR3","kegg_cytokines","kegg"
"35","CCL14","CCR1","kegg_cytokines","kegg"
"36","CCL16","CCR1","kegg_cytokines","kegg"
"37","CCL23","CCR1","kegg_cytokines","kegg"
"38","CCL15","CCR1","kegg_cytokines","kegg"
"39","CCL15","CCR3","kegg_cytokines","kegg"
"40","CCL8","CCR3","kegg_cytokines","kegg"
"41","CCL11","CCR3","kegg_cytokines","kegg"
"42","CCL24","CCR3","kegg_cytokines","kegg"
"43","CCL26","CCR3","kegg_cytokines","kegg"
"44","CCL28","CCR3","kegg_cytokines","kegg"
"45","CCL28","CCR10","kegg_cytokines","kegg"
"46","CCL27","CCR10","kegg_cytokines","kegg"
"47","IL6","IL6ST","kegg_cytokines","kegg"
"48","IL6","IL6R","kegg_cytokines","kegg"
"49","IL11","IL11RA","kegg_cytokines","kegg"
"50","IL11","IL6ST","kegg_cytokines","kegg"
"51","OSM","LIFR","kegg_cytokines","kegg"
"52","OSM","IL6ST","kegg_cytokines","kegg"
"53","OSM","OSMR","kegg_cytokines","kegg"
"54","LIF","LIFR","kegg_cytokines","kegg"
